type_of_reference,primary_title,paper_type,doi,authors,year,abstract,dataset
JOUR,ab0305 bone health status assessment in kidney transplant recipients patients (ktr) fractured and non-fractured by means dxa and rems technologies,abstract,,"['Fassio, A', 'Adami, G', 'Benini, C', 'Dartizio, C', 'Gatti, D', 'Gatti, M', 'Stomaci, C', 'Contaldo, FR', 'Andreola, S', 'Ferraro, PM']",2024,,goog
JOUR,ab0305?bone health status assessment in kidney transplant recipients patients (ktr) fractured and non-fractured by means dxa and rems technologies,abstract,10.1136/annrheumdis-2024-eular.5363,"['Fassio, A.', 'Adami, G.', 'Benini, C.', 'Dartizio, C.', 'Gatti, D.', 'Gatti, M.', 'Stomaci, C.', 'Contaldo, F.R.', 'Andreola, S.', 'Ferraro, P.M.', 'Gambaro, G.', 'Rossini, M.']",2024,"Background: The kidney plays an essential role in the regulatory system for bone and mineral metabolism. During the post renal-transplant period, a significant loss in bone strength, characterized by high rates of osteopenia and osteoporosis occurs with consequent higher susceptibility to fracture. The clinical management of bone diseases in transplant patients is complex due to both, the frequent persistence of Chronic Renal Disease (CKD) and the normal aging process, leading to a continuous need for regular bone status monitoring. Objectives: The aim of the present study is to assess the diagnostic accuracy of the non-ionizing method, Radiofrequency Echographic Multi Spectrometry (REMS) for the detection of impaired bone status of kidney transplant recipients (KTR) fractured and non-fractured in comparison to conventional dual-energy X-ray absorptiometry (DXA). Methods: A cohort of 39 male and women Caucasian patients undergoing kidney transplantation was enrolled in the study. All enrolled patients underwent a lumbar spine (LS) examination both with REMS and with DXA. Because of renal impairment, KTR patients experience substantial bone loss which is associated to a reduced T-score and consequent susceptibility to fragility fractures. On the basis of the history of fragility fractures collected from each participant, the cohort was stratified into two groups, fractured and non-fractured patients, and the bone health status was evaluated using both techniques. From a total of 39 lumbar scans, 9 and 30 scans encompassed patients with and without a fracture history, respectively. Results: As expected, the fractured group yielded a lower spinal T-score values compared to the non-fractured ones with both REMS and DXA techniques (Table 1). The measurements differed significantly between the two technologies. In particular, considering the whole cohort of fractured and non-fractured patients, the mean BMD at the lumbar spine obtained with REMS was 0.866 ± 0.104 g/cm2, which was significantly lower than the corresponding DXA ones (0.929 ± 0.191 g/cm2; p<0.05). Similarly, significant differences were found on the corresponding T- and Z-score values between the two tec",Scie
JOUR,ab0306 is there an association between bone mineral density and oral hygiene in rheumatoid arthritis patients?,abstract,,"['Loukil, S', 'Makhlouf, Y', 'Miladi, S', 'Fazaa, A', 'Boussaa, H', 'Souabni, L', 'Ouennich, K', 'Kassab, S', 'Chekili, S', 'Benabdelghani, K']",2024,,goog
JOUR,ab0306?is there an association between bone mineral density and oral hygiene in rheumatoid arthritis patients?,abstract,10.1136/annrheumdis-2024-eular.5587,"['Loukil, S.', 'Makhlouf, Y.', 'Miladi, S.', 'Fazaa, A.', 'Boussaa, H.', 'Souabni, L.', 'Ouennich, K.', 'Kassab, S.', 'Chekili, S.', 'Benabdelghani, K.', 'Laatar, A.']",2024,"Background: Patients with rheumatoid arthritis (RA) are at a higher risk of developing osteoporosis compared with healthy population. This can be mainly explained by the chronic state of inflammation as well as corticosteroid use. According to some authors, there may be a connection between systemic and alveolar bone loss [1]. However, the relationship between osteoporosis and alveolar bone loss is not completely elucidated. Objectives: The aim of this study was to investigate the association between bone mineral density and the presence of oral-dental anomalies in RA patients. Methods: We conducted a cross-sectional study involving patients with RA recruited from the rheumatology department of Mongi Slim Hospital. Sociodemographic data as well as those related to RA were transcribed (duration, joint deformities, extra-articular manifestations (EAM), immunological status, co-morbidities, treatment modalities, and disease activity assessed by the DAS28 (ESR) scores.). A dental consultation was provided to all patients. Bone mineral density (BMD) was measured by dual-energy X-ray absorptiometry (DXA) expressed in T-score and g/cm2. Osteoporosis was defined as a T-score ? -2.5. A significance threshold was set at p<0.05. Results: A total of 50 patients (43 women (86%) and 7 men (14%)) were included in the study. The mean age was 56 (10) years [30-75]. The mean disease duration was 9 (6) years [1-23]. Arterial hypertension (34%), diabetes (30%) and diffuse interstitial lung disease (22%) were the most common comorbidities and EAM. Only 16% of the patients were smokers. The mean body mass index (BMI) was 27 (9) kg/m2 [18.4-35], with 16% of the patients suffering from obesity. Thirty-one (62%) patients were treated with corticosteroids. The mean DAS28 (ESR) was 4.3(1.53)[2.02-7.9]. Oral examination revealed oral abnormalities in most patients (82%). Forty-six of them had a low BMD, with osteopenia in 52% and osteoporosis in 40%. Twelve patients were treated with bisphosphonates. There was no statistically significant association between the presence of dental abnormalities and disease activity (p=0.5). However, there was a statically significant association between or",Scie
JOUR,"ab0608 bone mineral density, vitamin d status and bone metabolism in a cohort of adult patients with inflammatory bowel disease",abstract,,"['Fernandes, BM', 'Bernardes, M', 'Gonçalves, DR', 'Magro, F', 'Costa, L']",2021,,goog
JOUR,"ab0608?bone mineral density, vitamin d status and bone metabolism in a cohort of adult patients with inflammatory bowel disease",abstract,10.1136/annrheumdis-2021-eular.494,"['Fernandes, B.M.', 'Bernardes, M.', 'Gonçalves, D.R.', 'Magro, F.', 'Costa, L.']",2021,"Background: Patients with inflammatory bowel disease (IBD) have an increased risk of low bone mineral density (BMD) and bone fractures due to several mechanisms. However, the best management of osteoporosis in this population is yet to determine. Objectives: To evaluate bone mineral density and other clinical, analytical and demographic features related with the risk of bone fractures in an IBD cohort. Methods: Retrospective monocentric study including all the patients with IBD consecutively reffered from Gastroenterology to the Rheumatology Department in a tertiary university hospital between January of 2013 and October 2020. Demographic, clinical and analytical data and BMD by dual-energy X-ray absorptiometry (DXA) (total hip, femoral neck and lumbar spine) were collected at the time of the first visit in the Rheumatology outpatient center. Correlations between variables were evaluated by Spearman rank test and Mann-Whitney U test was used in the comparison analysis between groups (significance level at p<0.05), using SPSS 25.0 software. Results: A total of 222 patients were included: 128 (57.7%) females, mean age of 43.4 (±13.6) years, mean IBD duration of 11.6 (±9.7) years. Regarding IBD: 163 (73.4%) had Crohn's disease (CD) and 59 (26.6%) had ulcerative colitis (UC); azathioprine (41.9%) and infliximab (29.8%) were the most frequently used drugs; 10 patients (4.5%) were taking glucocorticoids, 104 (46.8%) had been previously treated with glucocorticoids and 65 (29.3%) had already been exposed to high doses of glucocorticoids (prednisolone equivalent dose ? 7.5 mg/day). Ten patients (4.5%) had previous fragility fractures and 32 (14.4%) fulfilled diagnostic criteria of osteoporosis by DXA (T score ? -2.5). One hundred eighty-one (81.5%) patients exhibited low levels of 25-hydroxy vitamin D (<30ng/mL), 24 (10.8%) had high levels of parathormone and 150 (67.6%) showed elevated serum concentrations of beta-carboxy-terminal type-1 collagen crosslinks (beta-CTX). Three patients (1.4%) were under treatment with bisphosphonates and 18 (8.1%) were taking calcium and/or vitamin D supplements. Of interest, serum levels of albumin correlated negatively with beta-CTX (r",Scie
JOUR,ab0609 radiofrequency echographic multi-spectrometry for the assessment of both femora in pregnant women,abstract,,"['Kirilova, E', 'Kirilov, N', 'Vladeva, S']",2021,,goog
JOUR,ab0609?radiofrequency echographic multi-spectrometry for the assessment of both femora in pregnant women,abstract,10.1136/annrheumdis-2021-eular.1061,"['Kirilova, E.', 'Kirilov, N.', 'Vladeva, S.']",2021,"Background: Radiofrequency Echographic Multi-Spectrometry (REMS) is a non-ionizing innovative approach for the assessment of REMS-based bone mineral density (BMD) of the axial skeleton. The principle of the REMS technology is based on the analysis of native raw unfiltered ultrasound signals during an echographic scan of the lumbar spine or the femoral neck [1]. Several studies demonstrated the high concordance with dual energy X-ray absorptiometry (DXA) in terms of measured BMD with this novel technology [2,3]. In previous published literature it was envisaged to apply this technology for the examination of the axial bone density in pregnant women. Pregnancy-associated bone loss has been demonstrated as decreased bone mineral density (BMD) in previous studies [4]. Objectives: The aim of the current study is to compare the BMD values of both femora between pregnant and non-pregnant women matched for age and BMI using the novel REMS technology. Methods: Of total fifty women twenty pregnant women (40%) and thirty non-pregnant women (60%) were included in the study. The mean age of the pregnant women was 32 years ± 5 standard deviations (SD), (range 25-41 years) and the mean age of the non-pregnant women was 30 years ± 6 standard deviations (SD), (range 24-39 years). REMS approach was used to assess REMS-based BMD and REMS-based Z-score values of the femoral neck. Furthermore, body mass index (BMI) and gestational age in weeks were evaluated. Results: The mean BMI of the pregnant women was 26 kg/m2 ± 7 kg/m2 (range 14 kg/m2-42 kg/m2) and those of the non-pregnant women was 25 kg/m2 ± 5 kg/m2 (range 16 kg/m2-35 kg/m2). The mean gestational age was 20 weeks' gestation ± 5 weeks' gestation (range 13-27 weeks' gestation). REMS-based mean BMD of the left femoral neck of the pregnant women was 0.793 g/cm2 ± 0.167 g/cm2 (range 0.563 g/cm2-1.154 g/cm2). REMS-based mean BMD of the right femoral neck of the pregnant women was 0.828 g/cm2 ± 0.153 g/cm2 (range 0.570 g/cm2-1.161 g/cm2). After comparing left femoral neck BMD with the right femoral neck BMD of the pregnant women, we found a linear correlation (R=0.764). Left femoral neck BMD value (0.793 g/cm2) of the pregnant wom",Scie
JOUR,ab0610 normocalcaemic hyperparathyroidism and bone health–worse than anticipated?,abstract,,"['Masieh, D', 'Deshpande, S', 'Nisar, MK']",2021,,goog
JOUR,ab0610?normocalcaemic hyperparathyroidism and bone health – worse than anticipated?,abstract,10.1136/annrheumdis-2021-eular.1095,"['Masieh, D.', 'Deshpande, S.', 'Nisar, M.K.']",2021,"Background: Since the formal recognition of normocalcaemic hyperparathyroidism (nHPT) as a distinct entity in 2008, several studies have been published describing the characteristics of these individuals. Controversy exists regarding diagnostics and the role of parathyroidectomy in such cases. A chief reason for lack of consensus is the disagreement among experts regarding the potential complications and a bias towards perhaps benign nature of this condition. Objectives: In order to understand the challenges posed by this cohort, we aim to characterise these patients at presentation to our metabolic bone diseases unit with a focus on bone health. Methods: We interrogated our departmental database and undertook retrospective analysis of all patients presenting to metabolic bone service at our large university teaching hospital with a catchment population of 350,000. Individuals were included in the survey based on criteria of Vit D >70 nmol/L, normal calcium (2.20-2.60 mmol/L), eGFR>60ml/min and PTH >6.9 pmol/L measured twice at least three months apart. Results: Over six months review period, of 134 referrals, 42 (31%) were identified with nHPT. Follow up duration was two years. Mean age was 60 years (25-86). 38 (90%) were women with 31 (81%) post menopause. 34 (80%) were of Caucasian descent. All had comorbidities with median of five (1-14). Polypharmacy (>4 prescribed medicines) was common (36/42, 85%) with mean of seven prescribed medications (0-22). Mean Vit D was 88 (70.4-133.6), calcium 2.43 (2.26-2.58), creatinine 69.8 (48-115) and PTH 8.8 (7.2-14.2). Ten (24%) had already had fragility fractures with mean of two (0-4). 21 had DXA scan with mean T score of -3.78 (-2.1 - -6.0). 13/21(31%) had osteoporosis. Oral and IV bisphosphonates, denosumab and teriparatide were prescribed to 12 (28.5%), 14 (33%), 4 (10%) and one patient respectively. Conclusion: Our study suggests high prevalence of nHPT among patients referred to metabolic bone service with confirmed bone health issues. Nearly a third of patients have nHPT in this secondary care setting and a quarter have already suffered fragility fractures. These patients carry high comorbidity, polypharmacy and os",Scie
JOUR,ab0838 comparison of the characteristics of the osteoporotic patients with and without rheumatoid arthritis through radiofrequency echographic multi spectrometry,abstract,,"['Kirilova, Elena', 'Kirilov, Nikola', 'Vladeva, Stoyanka']",2019,,goog
JOUR,ab0838?comparison of the characteristics of the osteoporotic patients with and without rheumatoid arthritis through radiofrequency echographic multi spectrometry,abstract,10.1136/annrheumdis-2019-eular.2203,"['Kirilova, Elena', 'Kirilov, Nikola', 'Vladeva, Stoyanka']",2019,"Background Osteoporosis is a common bone disease characterized by reduction in bone mass accompanied by microarchitectural changes, resulting in brittle bones and in an increased risk of fractures. Rheumatoid arthritis is a well-known risk factor for the development of osteoporosis. With the introduction of radiofrequency echographic multi spectrometry (REMS), easily evaluation of the lumbar spine bone mineral density (BMD) ultrasound (BMDus) and hip BMDus is possible for early diagnosis of osteoporosis. Objectives The aim of this study is to compare the characteristics of the osteoporotic patients with and without rheumatoid arthritis through radiofrequency echographic multi spectrometry. Methods A total of 70 patients with osteoporosis were included in the study. 43% of them (30/70) had RA and 57% (40/70) were without RA. Patients were diagnosed with rheumatoid arthritis if they had a score of 6/10 or higher based on 2010 ACR/EULAR classification criteria for RA. Age, body mass index (BMI), lumbar spine BMDus, as well as total hip BMDus and fracture risk score (FRAX) were assessed. Results Patients with RA were significantly younger (69.3 ± 6.5 years) than those without RA (76.4 ± 5.0 years) (p = 0.002). BMI values did not differ significantly between the two groups (25.76 ± 4.82 kg/m2 for patients with RA and 27.57 ± 5.37 kg/m2 for patients without RA). Patients with and without RA did not show any significantly differences between BMDus values of L1-L4 (0.629/0.607 g/cm2 for L1, 0.692/0.688 g/cm2 for L2, 0.761/0.743 g/cm2 for L3 and 0.789/0.769 g/cm2 for L4). Patients with RA had higher total lumbar spine T-score (-2.6 ± 0.8 standard deviations) compared to those without RA (-3.1 ± 0.5 standard deviations), but this difference was not significant (p > 0.05). Femoral neck BMDus, trochanteric BMDus and total hip BMDus were similar in the groups with and without RA (0.550/0.548 g/cm2 for femoral neck, 0.710/0.693 g/cm2 for trochanter, 0.688/0.678 g/cm2 for total hip). FRAX score of the patients with RA was significantly higher (32.89% for 10-year probability of major osteoporotic fracture and 14.29% for 10-year probability of hip fracture) compared to the patie",Scie
JOUR,ab0839 association between body fat and bone mineral density in postmenopausal women through radiofrequency echographic multi spectrometry,abstract,,"['Kirilova, Elena', 'Kirilov, Nikola', 'Vladeva, Stoyanka']",2019,,goog
JOUR,ab0839?association between body fat and bone mineral density in postmenopausal women through radiofrequency echographic multi spectrometry,abstract,10.1136/annrheumdis-2019-eular.2210,"['Kirilova, Elena', 'Kirilov, Nikola', 'Vladeva, Stoyanka']",2019,"Background Osteoporosis is characterized by reduced bone mineral density (BMD) and increased fracture risk. Age, concomitant diseases, body mass index (BMI), body composition, etc. are important risk factors that could reflect on bone density and on the increased risk of fractures. Although obesity has been associated with increased bone mineral density (BMD) in the most studies, the relationship between body fat and BMD remains contradictive. Objectives The aim of this study is to determine if there is any association between body fat distribution and bone mineral density in postmenopausal women through novel ultrasound technique applicable on both-lumbar spine and femoral neck. Methods A total of 98 women with mean age 62 ± 11 years underwent radiofrequency echographic multi spectrometry (REMS). Bioelectrical impedance analysis (BIA) software was used to assess body fat percentage. Patients were divided into two groups-with body fat ? 32% and body fat < 32%. Age, BMI, lumbar spine BMD, total hip BMD and fracture risk score (FRAX) were compared between the patients with normal body fat and those with high body fat. Results The mean age of the women with normal body fat was 61.1±14.6 years and the mean age of the women with high body fat was 63.3±9.5 years. BMI of the women with body fat < 32% was significantly lower (22.5 kg/cm2) compared to the BMI of the women with body fat ? 32% (30.2 kg/cm2) (p = 0.000). Bone mineral density of L1-L4 and total lumbar spine BMD did not differ between the women with normal body fat and high body fat. Femoral neck BMD, trochanteric BMD and total hip BMD of the patients with normal body fat (0.604 g/cm2, 0.737 g/cm2 and 0.736 g/cm2 respectively) were significantly lower than those patients with high body fat (0.682 g/cm2, 0.864 g/cm2 and 0.838 g/cm2 respectively) (p = 0.000 for femoral neck BMD and trochanteric BMD, and p = 0.001 for total hip BMD). FRAX score for 10-year probability of major osteoporotic fracture did not differ significantly between the two groups (20.8% for women with normal body fat and 16.6% for women with high body fat). FRAX score for 10-year probability of hip fracture was also not significant between th",Scie
JOUR,ab0840 screening for osteoporosis in an ambulatory and hospitalized population: a 6-year experience in a university hospital,abstract,,"['Malaise, Olivier', 'Detroz, Marie', 'Leroy, Mathieu', 'Leonori, Lorenzo', 'Seidel, Laurence', 'Malaise, Michel']",2019,,goog
